student_id,order_id,order_time,canteen,window,dish_name,category,price,quantity,amount,payment,rating
S0101,O2026040600001,2026-04-06 18:26:25,二食堂,饮品窗口,奶茶,饮品,10.4,1,10.4,支付宝,4.4
S0101,O2026040600001,2026-04-06 18:26:25,二食堂,盖饭窗口,黄焖鸡米饭,主食,16.5,1,16.5,支付宝,4.3
S0032,O2026040800002,2026-04-08 06:05:33,三食堂,早餐窗口,豆浆,饮品,1.8,1,1.8,微信,3.9
S0032,O2026040800002,2026-04-08 06:05:33,三食堂,面食窗口,热干面,主食,8.1,1,8.1,微信,4.2
S0453,O2026041400003,2026-04-14 19:44:21,一食堂,盖饭窗口,黄焖鸡米饭,主食,15.7,1,15.7,校园卡,4.4
S0351,O2026032000004,2026-03-20 11:09:49,一食堂,快餐窗口,番茄炒蛋,热菜,10.1,1,10.1,支付宝,4.3
S0351,O2026032000004,2026-03-20 11:09:49,一食堂,特色窗口,麻辣香锅,主食,18.1,1,18.1,支付宝,4.3
S0019,O2026030700005,2026-03-07 17:46:33,二食堂,快餐窗口,青椒土豆丝,热菜,8.1,1,8.1,校园卡,4.3
S0019,O2026030700005,2026-03-07 17:46:33,二食堂,汤品窗口,紫菜蛋花汤,汤品,4.3,1,4.3,校园卡,3.8
S0205,O2026022100006,2026-02-21 10:58:12,三食堂,特色窗口,麻辣香锅,主食,18.3,1,18.3,校园卡,3.9
S0161,O2026030300007,2026-03-03 19:39:24,三食堂,饮品窗口,奶茶,饮品,9.8,1,9.8,校园卡,4.0
S0224,O2026031000008,2026-03-10 06:29:41,一食堂,早餐窗口,豆浆,饮品,1.6,1,1.6,校园卡,4.3
S0224,O2026031000008,2026-03-10 06:29:41,一食堂,早餐窗口,包子,主食,2.3,1,2.3,校园卡,4.7
S0040,O2026030600009,2026-03-06 17:43:47,一食堂,特色窗口,麻辣香锅,主食,18.1,1,18.1,支付宝,3.8
S0360,O2026030900010,2026-03-09 16:01:45,二食堂,汤品窗口,绿豆汤,汤品,4.6,1,4.6,微信,4.6
S0360,O2026030900010,2026-03-09 16:01:45,二食堂,面食窗口,牛肉面,主食,14.1,1,14.1,微信,4.7
S0224,O2026041100011,2026-04-11 13:10:17,二食堂,轻食窗口,水果沙拉,轻食,12.1,1,12.1,微信,4.2
S0469,O2026030600012,2026-03-06 11:40:29,二食堂,特色窗口,麻辣香锅,主食,17.8,1,17.8,校园卡,4.0
S0158,O2026021100013,2026-02-11 16:53:32,二食堂,汤品窗口,绿豆汤,汤品,4.6,1,4.6,微信,4.4
S0019,O2026021800014,2026-02-18 20:58:13,二食堂,夜宵窗口,炒饭,主食,12.2,2,24.4,校园卡,3.9
S0019,O2026021800014,2026-02-18 20:58:13,二食堂,饮品窗口,奶茶,饮品,9.7,1,9.7,校园卡,4.2
S0046,O2026041600015,2026-04-16 07:26:58,三食堂,早餐窗口,鸡蛋,主食,1.6,1,1.6,支付宝,4.6
S0046,O2026041600015,2026-04-16 07:26:58,三食堂,早餐窗口,豆浆,饮品,2.6,1,2.6,支付宝,4.2
S0062,O2026020300016,2026-02-03 22:56:14,三食堂,小吃窗口,炸鸡排,小吃,11.6,1,11.6,校园卡,3.6
S0468,O2026031000017,2026-03-10 17:58:29,一食堂,汤品窗口,绿豆汤,汤品,4.5,1,4.5,校园卡,3.6
S0403,O2026040600018,2026-04-06 10:25:11,二食堂,面食窗口,牛肉面,主食,13.8,2,27.6,微信,3.9
S0481,O2026041300019,2026-04-13 12:39:18,一食堂,汤品窗口,紫菜蛋花汤,汤品,4.0,1,4.0,校园卡,4.0
S0467,O2026021400020,2026-02-14 22:09:35,三食堂,汤品窗口,绿豆汤,汤品,3.6,1,3.6,校园卡,3.9
S0467,O2026021400020,2026-02-14 22:09:35,三食堂,夜宵窗口,炒面,主食,12.3,1,12.3,校园卡,3.6
S0135,O2026030700021,2026-03-07 19:52:16,一食堂,盖饭窗口,黄焖鸡米饭,主食,16.1,1,16.1,微信,4.9
S0135,O2026030700021,2026-03-07 19:52:16,一食堂,面食窗口,牛肉面,主食,13.9,1,13.9,微信,4.4
S0077,O2026031600022,2026-03-16 06:09:17,一食堂,早餐窗口,包子,主食,2.7,1,2.7,校园卡,4.6
S0397,O2026031000023,2026-03-10 13:19:59,三食堂,盖饭窗口,黄焖鸡米饭,主食,16.6,1,16.6,校园卡,4.3
S0262,O2026041100024,2026-04-11 09:00:22,一食堂,面食窗口,热干面,主食,8.4,1,8.4,支付宝,4.3
S0309,O2026033100025,2026-03-31 20:48:34,二食堂,小吃窗口,炸鸡排,小吃,10.0,1,10.0,校园卡,3.9
S0070,O2026020500026,2026-02-05 13:14:15,二食堂,快餐窗口,番茄炒蛋,热菜,9.9,1,9.9,校园卡,4.0
S0428,O2026041300027,2026-04-13 16:17:47,三食堂,饮品窗口,可乐,饮品,4.3,1,4.3,校园卡,3.8
S0368,O2026021400028,2026-02-14 11:04:17,一食堂,面食窗口,牛肉面,主食,14.7,1,14.7,微信,4.4
S0368,O2026021400028,2026-02-14 11:04:17,一食堂,快餐窗口,青椒土豆丝,热菜,8.0,2,16.0,微信,3.5
S0466,O2026033100029,2026-03-31 17:35:26,三食堂,盖饭窗口,黄焖鸡米饭,主食,16.5,1,16.5,校园卡,4.4
S0466,O2026033100029,2026-03-31 17:35:26,三食堂,汤品窗口,紫菜蛋花汤,汤品,4.1,1,4.1,校园卡,4.0
S0300,O2026021800030,2026-02-18 19:31:29,三食堂,面食窗口,牛肉面,主食,14.3,1,14.3,校园卡,3.8
S0318,O2026040900031,2026-04-09 18:20:44,三食堂,盖饭窗口,黄焖鸡米饭,主食,16.4,1,16.4,校园卡,3.6
S0277,O2026021400032,2026-02-14 11:07:43,三食堂,快餐窗口,番茄炒蛋,热菜,10.3,2,20.6,支付宝,4.4
S0240,O2026032000033,2026-03-20 07:51:52,一食堂,早餐窗口,豆浆,饮品,1.5,1,1.5,微信,3.4
S0460,O2026031100034,2026-03-11 12:00:18,三食堂,饮品窗口,可乐,饮品,4.1,1,4.1,校园卡,4.3
S0460,O2026031100034,2026-03-11 12:00:18,三食堂,特色窗口,麻辣香锅,主食,18.2,1,18.2,校园卡,3.7
S0460,O2026031100034,2026-03-11 12:00:18,三食堂,饮品窗口,奶茶,饮品,10.1,1,10.1,校园卡,4.4
S0079,O2026020300035,2026-02-03 20:39:54,一食堂,饮品窗口,奶茶,饮品,10.3,1,10.3,微信,3.9
S0079,O2026020300035,2026-02-03 20:39:54,一食堂,夜宵窗口,炒面,主食,12.9,1,12.9,微信,4.6
S0063,O2026020900036,2026-02-09 06:27:12,二食堂,面食窗口,热干面,主食,7.6,1,7.6,微信,3.9
S0063,O2026020900036,2026-02-09 06:27:12,二食堂,早餐窗口,包子,主食,3.2,1,3.2,微信,3.5
S0230,O2026020400037,2026-02-04 06:36:00,三食堂,早餐窗口,包子,主食,2.2,2,4.4,校园卡,4.3
S0073,O2026030600038,2026-03-06 12:52:34,三食堂,汤品窗口,紫菜蛋花汤,汤品,4.4,1,4.4,校园卡,4.1
S0487,O2026030800039,2026-03-08 12:24:54,一食堂,快餐窗口,番茄炒蛋,热菜,10.0,1,10.0,校园卡,4.2
